epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
178	-0.032876793	140.93611	-18.815321	7.6358027	27.191248	-38.42897	-210.38176	73.86801	40.54599	-466.48114	1000.0	712000
179	-0.03277639	140.56718	-18.77159	7.655995	27.191248	-38.42897	-209.85591	74.213936	40.54599	-466.48114	1000.0	716000
180	-0.033058763	140.24054	-18.791796	7.676899	27.191248	-38.42897	-209.98737	74.21892	40.54599	-466.48114	1000.0	720000
181	-0.033371214	139.79782	-18.820745	7.6838818	27.191248	-38.42897	-210.19588	74.11302	40.54599	-466.48114	1000.0	724000
182	-0.03341467	139.76218	-18.806725	7.6892757	27.191248	-38.42897	-210.02756	74.17771	40.54599	-466.48114	1000.0	728000
183	-0.03336146	139.33162	-18.781391	7.7224755	27.191248	-38.42897	-209.63858	74.57112	40.54599	-466.48114	1000.0	732000
184	-0.03335521	139.64236	-18.805847	7.722167	27.191248	-39.335773	-210.02182	74.88101	40.54599	-466.48114	1000.0	736000
185	-0.03359279	139.53278	-18.789062	7.716483	27.191248	-39.335773	-209.78746	74.75952	40.54599	-466.48114	1000.0	740000
186	-0.033562623	139.3859	-18.749083	7.7240725	27.191248	-39.335773	-209.28403	74.9291	40.54599	-466.48114	1000.0	744000
187	-0.033499647	139.31828	-18.736298	7.718464	27.191248	-39.335773	-209.19055	74.80926	40.54599	-466.48114	1000.0	748000
188	-0.03348914	139.58943	-18.703123	7.722885	27.191248	-39.335773	-208.7839	74.92122	40.54599	-466.48114	1000.0	752000
189	-0.033513065	139.52415	-18.665878	7.7408314	27.191248	-39.335773	-208.40753	75.13135	40.54599	-466.48114	1000.0	756000
190	-0.033580404	139.54503	-18.630451	7.7622943	27.191248	-39.335773	-207.94145	75.28545	40.54599	-466.48114	1000.0	760000
191	-0.033571582	139.25284	-18.590725	7.7760277	27.191248	-39.335773	-207.48352	75.369514	40.54599	-466.48114	1000.0	764000
192	-0.03340352	139.02617	-18.541555	7.7927256	27.191248	-39.335773	-206.90501	75.63302	40.54599	-466.48114	1000.0	768000
193	-0.033452652	138.7973	-18.505316	7.795406	27.191248	-39.335773	-206.44933	75.72716	40.54599	-466.48114	1000.0	772000
194	-0.033393696	138.5537	-18.49127	7.7974844	27.191248	-39.335773	-206.26299	75.72021	40.54599	-466.48114	1000.0	776000
195	-0.03324302	138.31937	-18.46692	7.7923074	27.191248	-39.335773	-205.97728	75.69506	40.54599	-466.48114	1000.0	780000
196	-0.03344444	138.2607	-18.437698	7.795059	27.191248	-39.335773	-205.6448	75.693405	40.54599	-466.48114	1000.0	784000
197	-0.03341776	138.15431	-18.440462	7.787498	27.191248	-39.335773	-205.60092	75.64352	40.54599	-466.48114	1000.0	788000
198	-0.033413693	137.83864	-18.420435	7.785357	27.191248	-39.335773	-205.38861	75.58446	40.54599	-466.48114	1000.0	792000
199	-0.03321358	137.86275	-18.407722	7.784422	27.191248	-39.335773	-205.16652	75.56165	40.54599	-466.48114	1000.0	796000
200	-0.03316413	137.68753	-18.412632	7.810707	27.191248	-39.335773	-205.10321	75.71195	40.54599	-466.48114	1000.0	800000
201	-0.033194054	137.4976	-18.393316	7.8163776	27.191248	-39.335773	-204.88705	75.86363	40.54599	-466.48114	1000.0	804000
