epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
83	-15.372134	2.2087984	15.184213	21.365385	125.34115	-210.7157	15.184152	21.366224	122.208626	-203.24992	81.0852	176.79185	316.99768	-163.35402	629.981	0.012954844	332000	-0.06730847
84	-15.44647	2.2110174	15.259911	21.32442	125.34115	-210.7157	15.259851	21.325249	122.208626	-203.24992	82.993835	177.1076	316.99768	-163.35402	631.5789	0.012914861	336000	-0.06734052
85	-15.520323	2.2129147	15.335063	21.282911	125.34115	-210.7157	15.335005	21.283693	122.208626	-203.24992	84.90904	177.44696	316.99768	-163.35402	633.1471	0.012863396	340000	-0.06707873
86	-15.590955	2.2154272	15.40709	21.242558	125.34115	-210.7157	15.407036	21.243382	122.208626	-203.24992	86.32843	177.37718	316.99768	-163.35402	634.68634	0.012817384	344000	-0.06619448
87	-15.659768	2.215925	15.477249	21.202055	125.34115	-210.7157	15.477192	21.2029	122.208626	-203.24992	88.35996	177.8295	316.99768	-163.35402	636.19745	0.012771212	348000	-0.06500987
88	-15.727598	2.2159982	15.546375	21.162842	125.34115	-210.7157	15.546315	21.163628	122.208626	-203.24992	90.23036	178.18475	316.99768	-163.35402	636.528	0.012724186	352000	-0.06440981
89	-15.796078	2.2171016	15.616027	21.124023	125.34115	-210.7157	15.61597	21.124847	122.208626	-203.24992	92.05857	178.5053	316.99768	-163.35402	636.8515	0.0126848165	356000	-0.06361017
90	-15.86638	2.2167358	15.687456	21.08469	125.34115	-210.7157	15.687399	21.085485	122.208626	-203.76456	93.979965	178.87187	316.99768	-163.35402	638.29785	0.012644014	360000	-0.063031435
91	-15.936995	2.215742	15.75924	21.04685	125.34115	-210.7157	15.759187	21.047632	122.208626	-203.76456	94.900764	178.57874	316.99768	-163.35402	637.4781	0.012604124	364000	-0.062065218
92	-16.008312	2.2159026	15.831651	21.011303	125.34115	-210.7157	15.8316	21.012106	122.208626	-203.76456	96.436714	178.71156	317.05692	-163.35402	637.7816	0.012568189	368000	-0.0615845
93	-16.08031	2.2166023	15.904812	20.976198	125.34115	-210.7157	15.904757	20.976978	122.208626	-203.76456	97.49368	178.6568	317.05692	-163.35402	636.9863	0.012524099	372000	-0.0614315
94	-16.150225	2.2195363	15.975979	20.942318	125.34115	-210.7157	15.975924	20.943102	122.208626	-203.76456	99.151245	178.88722	317.05692	-163.35402	637.28815	0.012482533	376000	-0.060260266
95	-16.218628	2.221816	16.045553	20.911226	125.34115	-210.7157	16.045506	20.912006	122.208626	-203.76456	100.79643	179.10309	317.2409	-163.35402	637.58386	0.01244263	380000	-0.059753284
96	-16.287806	2.2231374	16.115747	20.8795	125.34115	-210.7157	16.115702	20.880255	122.208626	-203.76456	102.555855	179.38829	317.2409	-163.35402	638.9351	0.012403894	384000	-0.059303112
97	-16.35874	2.2241447	16.187675	20.847673	125.34115	-210.7157	16.187628	20.848467	122.208626	-203.76456	104.19076	179.56712	317.2409	-163.35402	639.2092	0.012368732	388000	-0.058196455
98	-16.430319	2.2271569	16.260303	20.815983	125.34115	-210.7157	16.260252	20.816763	122.208626	-203.76456	105.74141	179.74423	317.2409	-163.35402	639.47797	0.012330371	392000	-0.058593746
99	-16.501427	2.2303345	16.33251	20.785246	125.34115	-210.7157	16.33246	20.78601	122.208626	-203.76456	107.32998	179.88594	320.36902	-163.35402	639.7415	0.012288476	396000	-0.05779819
100	-16.57066	2.2345128	16.402931	20.7523	125.34115	-210.7157	16.402887	20.753067	122.208626	-203.76456	108.996506	180.12085	320.36902	-163.35402	641.02563	0.012245439	400000	-0.05711577
